"Tag","population","ID","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","petri_dish","family","common_garden","mortality"
"b|VRPET2-3-20|Q|516","VRPET2","516",3,1,20,"516_1",0.241652975,0.10758853,0.144836174,0.054786412,35,37,10546,4,4,3,"Dead","Dead","Dead","Dead",1.79e-06,3.51e-07,-9.74e-08,-6.77e-09,"b","3-20","Q","0"
"b|VRPET2-3-20|Q|516","VRPET2","516",3,1,20,"516_2",0.38444548,0.155937185,0.203096599088803,0.108101937554967,50,39,10546,4,4,3,"Dead","Dead","Dead","Dead",1.79e-06,3.51e-07,-9.74e-08,-6.77e-09,"b","3-20","Q","0"
"c|VRPET2-3-20|Q|517","VRPET2","517",4,6,10,"517_1",0.411730815,0.140129885,0.179598989,0.167307324,51,46,6969,2,3,6,"32","29","105","30",9.1e-07,2.38e-07,-1.7e-08,-8.24e-09,"c","3-20","Q","1"
"d|VRPET2-3-20|Q|518","VRPET2","518",2,2,20,"518_1",0.29381264,0.19586624,0.284473713,0.100124032,54,54,13498,3,9,5,"Dead","Dead","Dead","Dead",9.66109837837838e-07,1.96326241513514e-07,-9.74e-08,1.92e-08,"d","3-20","Q","0"
"d|VRPET2-3-20|Q|518","VRPET2","518",2,2,20,"518_2",0.42280671,0.1223057,0.25679796,0.089369074,70,74,13498,3,9,5,"Dead","Dead","Dead","Dead",9.66109837837838e-07,1.96326241513514e-07,-9.74e-08,1.92e-08,"d","3-20","Q","0"
"c|VRPET2-3-20|Q|519","VRPET2","519",2,1,20,"519_2",0.41252421,0.135250225,0.209481906,0.117843179,31,26,11863,4,9,5,"Dead","Dead","Dead","Dead",1.64e-06,5.57e-07,-7.09e-08,-8.56e-11,"c","3-20","Q","0"
"e|CRSOSO-3-40|Q|51","CRSORO","51",1,6,18,"51_1",0.24001751,0.11094102,0.20142921,0.140587804,47,41,9821,4,9,3,"20","21","85","10",8.89e-07,4.22e-07,7.37e-08,1.14e-08,"e","3-40","Q","1"
"e|CRSOSO-3-40|Q|51","CRSORO","51",1,6,18,"51_2",0.392687705,0.147717175,0.173994865,0.091654367,71,68,9821,4,9,3,"20","21","85","10",8.89e-07,4.22e-07,7.37e-08,1.14e-08,"e","3-40","Q","1"
"c|VRPET2-3-20|Q|520","VRPET2","520",2,2,7,"520_1",0.24176655,0.1225378,0.172305006,0.11016416,63,57,8976,3,1,4,"Dead","Dead","Dead","Dead",1.3e-06,1.25e-07,1.78e-07,-2.15e-07,"c","3-20","Q","0"
"c|VRPET2-3-20|Q|520","VRPET2","520",2,2,7,"520_2",0.16828094,0.06930002,0.12792034,0.108101937554967,69,75,8976,3,1,4,"Dead","Dead","Dead","Dead",1.3e-06,1.25e-07,1.78e-07,-2.15e-07,"c","3-20","Q","0"
