"Tag","petri_dish","population","family","common_garden","ID","gh_bench","gh_col","gh_row","Row_Field","Col_Field","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","ChlorA","ChlorB","gluc_Conc","flav_Conc","RGR1","RGR2","RGR3","RGR4","mortality"
"b|JBBLB2-1-20|Q|200","b","JBBLB2","1-20","Q","200",4,4,3,3,2,65,63,5121,2,5,2,5,2,0.237377725,0.09141024,0.14768134494,0.094795291654,1.63e-06,4.07e-07,-1e-07,-2.2e-07,"1"
"c|JBBLB2-1-20|Q|208","c","JBBLB2","1-20","Q","208",2,2,16,4,6,43,34,5492,2,152,13,25,26,0.386566065,0.107128445,0.23550228672,0.15592418011,7.68e-07,1.77e-07,2.5e-08,-6.66e-08,"1"
"c|JBBLB2-1-20|Q|208","c","JBBLB2","1-20","Q","208",2,2,16,4,6,62,65,5492,2,152,13,25,26,0.307737615,0.115811215,0.13361068158,0.066646110028,7.68e-07,1.77e-07,2.5e-08,-6.66e-08,"1"
"d|BWPEM1-9-0|Q|20","d","BWPEM1","9-0","Q","20",2,4,11,4,5,75,74,6194,2,56,15,26,31,0.1650595,0.137174105,0.12040219122,0.082643163226,8.36e-07,-1.16e-07,-1.68e-07,-1.71e-07,"1"
"e|JBBLB2-1-20|Q|222","e","JBBLB2","1-20","Q","222",3,1,12,2,5,45,43,7070,4,73,14,31,31,0.708278145,0.20405374,0.28459441734,0.108101937554212,6.96e-07,1.54e-07,9.12e-08,1.56e-08,"1"
"e|JBBLB2-1-20|Q|222","e","JBBLB2","1-20","Q","222",3,1,12,2,5,48,51,7070,4,73,14,31,31,0.28519561,0.0454426700000001,0.203096599080347,0.108101937554212,6.96e-07,1.54e-07,9.12e-08,1.56e-08,"1"
"c|JBCHY1-1-50|Q|225","c","JBCHY1","1-50","Q","225",2,5,14,9,2,31,27,7005,4,48,7,11,10,0.43778631,0.181065325,0.23479530486,0.199507214686,1e-06,5.33e-07,1.45e-07,-6.68e-08,"1"
"c|JBCHY1-1-50|Q|225","c","JBCHY1","1-50","Q","225",2,5,14,9,2,41,44,7005,4,48,7,11,10,0.2918689,0.15864214,0.1658904387,0.108517882312,1e-06,5.33e-07,1.45e-07,-6.68e-08,"1"
"b|JBCHY1-1-50|Q|228","b","JBCHY1","1-50","Q","228",3,2,6,1,5,42,30,10920,3,7,4,11,10,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,9.5e-07,-6.51e-08,1.37e-07,-1.35e-08,"1"
"b|JBCHY1-1-50|Q|228","b","JBCHY1","1-50","Q","228",3,2,6,1,5,70,66,10920,3,7,4,11,10,0.84679377,0.126699555,0.22432852464,0.124688227894,9.5e-07,-6.51e-08,1.37e-07,-1.35e-08,"1"
"c|JBCHY1-1-50|Q|231","c","JBCHY1","1-50","Q","231",2,5,18,2,5,40,40,4732,2,34,2,9,7,0.21208399,0.096086195,0.11102174898,0.052912688596,1.44e-06,2.19e-07,-2.13e-07,1.1e-07,"1"
"c|JBCHY1-1-50|Q|231","c","JBCHY1","1-50","Q","231",2,5,18,2,5,54,58,4732,2,34,2,9,7,0.21318566,0.131783125,0.10772824812,0.051147272434,1.44e-06,2.19e-07,-2.13e-07,1.1e-07,"1"
"c|JBCHY1-1-50|Q|232","c","JBCHY1","1-50","Q","232",3,5,11,2,5,45,40,1800,1,74,27,31,28,0.37495556,0.109239775,0.11400486756,0.14688048382,1.37e-06,3.38e-07,-1.47e-07,2.12e-08,"1"
"c|JBCHY1-1-50|Q|235","c","JBCHY1","1-50","Q","235",1,2,10,8,2,52,55,13342,4,139,55,38,40,0.609029905,0.203083775,0.18765168522,0.12142816492,1.52e-06,5.38e-07,-7.31e-08,1.5e-08,"1"
"c|JBCHY1-1-50|Q|235","c","JBCHY1","1-50","Q","235",1,2,10,8,2,74,74,13342,4,139,55,38,40,0.71527512,0.305203135,0.14419816602,0.104737942186,1.52e-06,5.38e-07,-7.31e-08,1.5e-08,"1"
"b|JBCHY1-1-50|Q|242","b","JBCHY1","1-50","Q","242",4,4,22,8,6,55,50,6780,2,97,23,32,35,0.49454328,0.1639467,0.21074067816,0.143219682208,9.66e-07,1.66e-07,-1.81e-07,6.84e-08,"1"
"c|JBCHY1-1-50|Q|243","c","JBCHY1","1-50","Q","243",2,2,2,1,2,61,60,8548,3,81,10,14,13,0.173689495,0.070684185,0.203096599080347,0.108101937554212,1.23e-06,3.52e-07,-1.78e-07,-4.34e-08,"1"
"c|JBCHY1-1-50|Q|243","c","JBCHY1","1-50","Q","243",2,2,2,1,2,67,67,8548,3,81,10,14,13,0.18985026,0.06629424,0.12497170812,0.108101937554212,1.23e-06,3.52e-07,-1.78e-07,-4.34e-08,"1"
"e|JBCHY1-1-50|Q|244","e","JBCHY1","1-50","Q","244",3,2,12,2,4,38,37,9050,3,144,8,18,14,0.768890145,0.257112095,0.3204780576,0.12440662777,5.34e-07,1.59e-07,-1.16e-07,-8.22e-08,"1"
"e|JBCHY1-1-50|Q|244","e","JBCHY1","1-50","Q","244",3,2,12,2,4,57,60,9050,3,144,8,18,14,0.565729015,0.187739235,0.24743476104,0.10740231259,5.34e-07,1.59e-07,-1.16e-07,-8.22e-08,"1"
"f|JBCHY1-1-50|Q|245","f","JBCHY1","1-50","Q","245",2,5,12,3,3,34,27,918,1,17,10,9,12,0.780921685,0.25576435,0.26638532358,0.149685654286,2.08e-06,6.99e-07,3.61e-07,-2.57e-07,"1"
"d|JWBOY-2-80|Q|258","d","JWBOY1","2-80","Q","258",3,3,15,5,6,51,58,3658,2,79,8,19,16,0.40052512,0.14086919,0.20073947136,0.07193152774,5.59e-07,4.43e-08,-7.64e-08,-1.11e-07,"1"
"d|JWBOY-2-80|Q|261","d","JWBOY1","2-80","Q","261",1,2,14,6,4,54,50,14197,4,1,4,3,5,0.262412675,0.1073268,0.20794723764,0.091329443974,9.13e-07,2.74e-07,8.98e-08,3.21e-08,"1"
"d|JWBOY-2-80|Q|261","d","JWBOY1","2-80","Q","261",1,2,14,6,4,78,80,14197,4,1,4,3,5,0.634242515,0.18772977,0.17246019696,0.119868533464,9.13e-07,2.74e-07,8.98e-08,3.21e-08,"1"
"d|JWBOY-2-80|Q|262","d","JWBOY1","2-80","Q","262",3,3,10,2,2,42,42,9300,3,33,4,7,7,0.42675746,0.0957717900000001,0.23919238716,0.108101937554212,6.38e-07,2.15e-07,-1.37e-07,2.79e-09,"1"
"d|JWBOY-2-80|Q|262","d","JWBOY1","2-80","Q","262",3,3,10,2,2,68,72,9300,3,33,4,7,7,0.270978585,0.087056715,0.15583750152,0.08184168595,6.38e-07,2.15e-07,-1.37e-07,2.79e-09,"1"
"e|JWBOY-2-80|Q|266","e","JWBOY1","2-80","Q","266",1,3,6,2,4,57,58,12535,4,115,16,40,36,0.18100934,0.10502123,0.10817657808,0.10068723271,1.47e-06,7.38e-08,-1.41e-07,-3.69e-08,"1"
"e|JWBOY-2-80|Q|266","e","JWBOY1","2-80","Q","266",1,3,6,2,4,73,73,12535,4,115,16,40,36,0.256987895,0.103807025,0.1070902401,0.0745309135,1.47e-06,7.38e-08,-1.41e-07,-3.69e-08,"1"
"a|KVEDG1-1-80|Q|275","a","KVEDG1","1-80","Q","275",4,6,17,7,6,43,38,6598,2,134,23,38,39,0.49583965,0.22527095,0.203096599080347,0.108101937554212,6.35e-07,2.39e-07,-6.35e-09,-2.89e-08,"1"
"a|KVEDG1-1-80|Q|275","a","KVEDG1","1-80","Q","275",4,6,17,7,6,68,73,6598,2,134,23,38,39,0.315623705,0.11537006,0.17583991512,0.11471308504,6.35e-07,2.39e-07,-6.35e-09,-2.89e-08,"1"
"d|KVEDG1-1-80|Q|296","d","KVEDG1","1-80","Q","296",4,3,2,6,2,31,33,4403,2,74,7,26,29,0.387425175,0.1655535,0.2015844009,0.122532903868,1.28e-06,3.31e-07,1.68e-08,-1.02e-07,"1"
"d|KVEDG1-1-80|Q|296","d","KVEDG1","1-80","Q","296",4,3,2,6,2,52,65,4403,2,74,7,26,29,0.35752229295053,0.126485706746172,0.203096599080347,0.108101937554212,1.28e-06,3.31e-07,1.68e-08,-1.02e-07,"1"
