"Tag","petri_dish","population","family","common_garden","ID","treatment","gh_bench","gh_col","gh_row","Sample","ChlorA","ChlorB","gluc_Conc","flav_Conc","GM_Leaf_Len_Initial","GM_NumberOfLeaves_Initial","GM_Leaf_Number","GM_Leaf_Len","GM_Leaf_Wid","GM_TotalLeaf_Area","GM_NumberOfLeaves","Fern","ThripsDam","WhiteFungDam","BlackPathDam","GA3","Region","Latitude","Longitude","Altitude","Row_Field","Col_Field","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","RGR1","RGR2","RGR3","RGR4","GM_Fecundity"
"c|JARI1-1-80|Q|173","c","JARI1","1-80","Q","173","a",1,3,8,"173_2",0.273942055,0.09453742,0.169563296,0.062887831,10,2,2,80,59,12444,4,0,1,1,1,"y","NorthAm",41.48,-71.52,20.7,2,1,"26","25","115","13",1.19e-06,2.19e-07,6.39e-08,5.87e-09,NA
"c|JARI1-1-80|Q|175","c","JARI1","1-80","Q","175","m",2,1,14,"175_1",0.282022845,0.119723585,0.125144143,0.105160342,12,2,1,61,61,8617,3,0,3,0,2,"y","NorthAm",41.48,-71.52,20.7,2,6,"Dead","Dead","Dead","Dead",1.2e-06,1.54e-08,-1.09e-07,-7.7e-08,NA
"c|JARI1-1-80|Q|175","c","JARI1","1-80","Q","175","m",2,1,14,"175_2",0.11952282,0.046164485,0.092605734,0.055414597,12,2,2,68,69,8617,3,0,0,0,0,"y","NorthAm",41.48,-71.52,20.7,2,6,"Dead","Dead","Dead","Dead",1.2e-06,1.54e-08,-1.09e-07,-7.7e-08,NA
"c|JARI1-1-80|Q|176","c","JARI1","1-80","Q","176","a",2,6,12,"176_1",0.500664105,0.149773155,0.210861382,0.155252672,18,2,1,36,36,5816,3,0,0,0,0,"y","NorthAm",41.48,-71.52,20.7,2,3,"Dead","Dead","Dead","Dead",5.43e-07,-6.15e-08,2.46e-07,6.34e-08,NA
"c|JARI1-1-80|Q|176","c","JARI1","1-80","Q","176","a",2,6,12,"176_2",0.549357325,0.16436625,0.204101946,0.128132414,18,2,2,46,45,5816,3,0,0,0,0,"y","NorthAm",41.48,-71.52,20.7,2,3,"Dead","Dead","Dead","Dead",5.43e-07,-6.15e-08,2.46e-07,6.34e-08,NA
"d|BWPEM1-9-0|Q|17","d","BWPEM1","9-0","Q","17","a",2,1,8,"17_1",0.50521518,0.202256815,0.200377359,0.169700925,12,2,1,44,37,13313,3,0,0,2,0,"y","NorthAm",37.373261,-80.524986,1156,3,4,"Dead","Dead","Dead","Dead",1.74e-06,2.52e-07,-3.03e-08,-1.4e-07,NA
"d|BWPEM1-9-0|Q|17","d","BWPEM1","9-0","Q","17","a",2,1,8,"17_2",0.7802735,0.225102225,0.181875126,0.118622994,12,2,2,77,80,13313,3,0,0,0,7,"y","NorthAm",37.373261,-80.524986,1156,3,4,"Dead","Dead","Dead","Dead",1.74e-06,2.52e-07,-3.03e-08,-1.4e-07,NA
"d|JARI1-1-80|Q|180","d","JARI1","1-80","Q","180","m",5,6,13,"180_1",0.524986785,0.181247425,0.298285725,0.110467422,9,2,1,32,25,5696,3,0,0,0,0,"y","NorthAm",41.48,-71.52,20.7,8,5,"16","19","71","7",NA,NA,-1.27e-06,8.41e-07,NA
"d|JARI1-1-80|Q|180","d","JARI1","1-80","Q","180","m",5,6,13,"180_2",0.47496556,0.155821135,0.203515668,0.077314422,9,2,2,54,51,5696,3,0,0,0,0,"y","NorthAm",41.48,-71.52,20.7,8,5,"16","19","71","7",NA,NA,-1.27e-06,8.41e-07,NA
"d|JARI1-1-80|Q|184","d","JARI1","1-80","Q","184","m",2,4,9,"184_1",0.47203454,0.15261165,NA,NA,10,2,1,42,34,4548,2,2,0,0,0,"y","NorthAm",41.48,-71.52,20.7,3,4,"Dead","Dead","Dead","Dead",1.45e-06,-1.27e-07,1.97e-09,1.18e-07,NA
